                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.85199,                0.82621,                  1.071,                0.90404,                0.98392,                  0.995,                0.69003,                  1.019,                0.66302,                 1.2122,             6.9726e-05,             6.9726e-05,             6.9726e-05
                    123,                0.79805,                 0.8087,                0.97967,                0.90404,                0.98392,                  0.995,                0.69003,                  1.019,                0.66302,                 1.2122,              6.572e-05,              6.572e-05,              6.572e-05
                    124,                0.85916,                0.77911,                 1.0004,                0.90759,                0.99537,                  0.995,                0.68419,                 1.0208,                0.65879,                 1.2122,             6.1834e-05,             6.1834e-05,             6.1834e-05
                    125,                0.83939,                0.80816,                 1.0177,                0.90759,                0.99537,                  0.995,                0.68419,                 1.0208,                0.65879,                 1.2122,             5.8067e-05,             5.8067e-05,             5.8067e-05
                    126,                0.80529,                0.81435,                 1.0426,                0.90759,                0.99537,                  0.995,                0.68419,                 1.0208,                0.65879,                 1.2122,             5.4424e-05,             5.4424e-05,             5.4424e-05
                    127,                0.85173,                0.76339,                 1.0141,                 0.9128,                      1,                  0.995,                0.68683,                 1.0201,                0.65224,                 1.2121,             5.0904e-05,             5.0904e-05,             5.0904e-05
                    128,                 0.8362,                0.75727,                 1.0317,                 0.9128,                      1,                  0.995,                0.68683,                 1.0201,                0.65224,                 1.2121,             4.7509e-05,             4.7509e-05,             4.7509e-05
                    129,                0.75473,                0.78166,                0.99311,                0.91927,                      1,                  0.995,                0.69752,                 1.0228,                0.65071,                 1.2127,             4.4242e-05,             4.4242e-05,             4.4242e-05
                    130,                 0.8387,                0.75876,                0.99717,                0.91927,                      1,                  0.995,                0.69752,                 1.0228,                0.65071,                 1.2127,             4.1102e-05,             4.1102e-05,             4.1102e-05
                    131,                0.76279,                0.73239,                0.99252,                0.91927,                      1,                  0.995,                0.69752,                 1.0228,                0.65071,                 1.2127,             3.8093e-05,             3.8093e-05,             3.8093e-05
                    132,                0.78417,                0.75864,                 1.0083,                0.91708,                      1,                  0.995,                0.69383,                 1.0262,                0.64894,                 1.2131,             3.5214e-05,             3.5214e-05,             3.5214e-05
                    133,                0.77428,                0.76237,                0.98778,                0.91708,                      1,                  0.995,                0.69383,                 1.0262,                0.64894,                 1.2131,             3.2468e-05,             3.2468e-05,             3.2468e-05
                    134,                0.85094,                0.76201,                0.98777,                0.91708,                      1,                  0.995,                0.69383,                 1.0262,                0.64894,                 1.2131,             2.9855e-05,             2.9855e-05,             2.9855e-05
                    135,                0.81336,                0.77966,                0.96954,                0.91412,                      1,                  0.995,                0.69364,                 1.0243,                0.64295,                 1.2129,             2.7377e-05,             2.7377e-05,             2.7377e-05
                    136,                0.81513,                0.77858,                0.99776,                0.91412,                      1,                  0.995,                0.69364,                 1.0243,                0.64295,                 1.2129,             2.5035e-05,             2.5035e-05,             2.5035e-05
                    137,                0.77491,                0.73834,                0.97733,                0.91362,                      1,                  0.995,                0.69301,                 1.0188,                0.64485,                 1.2111,             2.2829e-05,             2.2829e-05,             2.2829e-05
                    138,                0.82787,                0.79991,                 1.0776,                0.91362,                      1,                  0.995,                0.69301,                 1.0188,                0.64485,                 1.2111,             2.0762e-05,             2.0762e-05,             2.0762e-05
                    139,                0.84679,                0.83546,                 1.0452,                0.91362,                      1,                  0.995,                0.69301,                 1.0188,                0.64485,                 1.2111,             1.8832e-05,             1.8832e-05,             1.8832e-05
                    140,                0.80109,                0.72667,                0.99227,                0.91414,                      1,                  0.995,                0.69237,                 1.0191,                0.64149,                 1.2107,             1.7043e-05,             1.7043e-05,             1.7043e-05
                    141,                 0.8364,                0.97331,                  1.052,                0.91414,                      1,                  0.995,                0.69237,                 1.0191,                0.64149,                 1.2107,             1.5393e-05,             1.5393e-05,             1.5393e-05
